INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT
224	10298028	神传君主手镯	1	1	5	3	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	66	29	8	123779|126075|129079|132075|138664|141030	1
225	10298029	天传君主手镯	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	29	8	123779|126075|129079|132075|138664|141030	1
226	10298030	世传君主手镯	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	36	29	8	123779|126075|129079|132075|138664|141030	1
227	10298031	国传君主手镯	1	1	5	2	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	56	29	8	123779|126075|129079|132075|138664|141030	1
228	10298032	神传君主手镯	1	1	5	3	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	66	29	8	123779|126075|129079|132075|138664|141030	1
229	10298033	天传君主手镯	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	29	8	123779|126075|129079|132075|138664|141030	1
230	10298034	世传君主手镯	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	36	29	8	123779|126075|129079|132075|138664|141030	1
231	10298035	国传君主手镯	1	1	5	2	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	56	29	8	123779|126075|129079|132075|138664|141030	1
232	10298036	神传君主手镯	1	1	5	3	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	66	29	8	123779|126075|129079|132075|138664|141030	1
233	10298037	天传君主手镯	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	29	8	123779|126075|129079|132075|138664|141030	1
234	10298038	世传君主手镯	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	36	29	8	123779|126075|129079|132075|138664|141030	1
235	10298039	国传君主手镯	1	1	5	2	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	56	29	8	123779|126075|129079|132075|138664|141030	1
236	10298040	神传君主手镯	1	1	5	3	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	66	29	8	123779|126075|129079|132075|138664|141030	1
237	10298041	天传君主手镯	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	29	8	123779|126075|129079|132075|138664|141030	1
238	10298048	天赐金牌手镯	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	29	8	123779|126075|129079|132075|138664|141030	1
239	10298049	天赐金牌手镯	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	29	8	123779|126075|129079|132075|138664|141030	1
240	10298050	天赐金牌手镯	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	29	8	123779|126075|129079|132075|138664|141030	1
241	10298051	天赐金牌手镯	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	29	8	123779|126075|129079|132075|138664|141030	1
242	10298052	天赐金牌手镯	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	29	8	123779|126075|129079|132075|138664|141030	1
243	10298053	天赐金牌手镯	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	29	8	123779|126075|129079|132075|138664|141030	1
244	10298100	冥传君主手镯	1	1	5	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	103	29	8	123779|126075|129079|132075|138664|141030	1
245	10298101	冥传君主手镯	1	1	5	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	103	29	8	123779|126075|129079|132075|138664|141030	1
246	10298102	冥传君主手镯	1	1	5	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	103	29	8	123779|126075|129079|132075|138664|141030	1
247	10298103	冥传君主手镯	1	1	5	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	103	29	8	123779|126075|129079|132075|138664|141030	1
248	10298104	冥传君主手镯	1	1	5	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	103	29	8	123779|126075|129079|132075|138664|141030	1
249	10298105	冥传君主手镯	1	1	5	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	103	29	8	123779|126075|129079|132075|138664|141030	1
250	10298106	冥传君主手镯	1	1	5	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	103	29	8	123779|126075|129079|132075|138664|141030	1
251	10298107	冥传君主手镯	1	1	5	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	103	29	8	123779|126075|129079|132075|138664|141030	1
252	10298108	冥传君主手镯	1	1	5	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	103	29	8	123779|126075|129079|132075|138664|141030	1
253	10298109	冥传君主手镯	1	1	5	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	103	29	8	123779|126075|129079|132075|138664|141030	1
254	10298110	冥传君主手镯	1	1	5	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	103	29	8	123779|126075|129079|132075|138664|141030	1
255	10298111	冥传君主手镯	1	1	5	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	103	29	8	123779|126075|129079|132075|138664|141030	1
256	10354101	天赐金牌之矛	1	1	4	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	80	35	8	123779|126075|129079|132075|138664|141030	1
257	10364101	天赐金牌之令	1	1	4	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	80	36	8	123779|126075|129079|132075|138664|141030	1
258	10374101	天赐金牌之弩	1	1	4	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	80	37	8	123779|126075|129079|132075|138664|141030	1
259	10384101	天赐金牌之铳	1	1	4	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	80	38	8	123779|126075|129079|132075|138664|141030	1
260	10394101	天赐金牌之圣十字	1	1	4	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	80	39	8	123779|126075|129079|132075|138664|141030	1
261	10404101	天赐金牌之帆	1	1	4	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	80	40	8	123779|126075|129079|132075|138664|141030	1
262	10414101	天赐金牌之盾	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	81	41	8	123779|126075|129079|132075|138664|141030	1
263	10424101	天赐金牌之手令	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	81	42	8	123779|126075|129079|132075|138664|141030	1
264	10434101	天赐金牌之弩箭	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	81	43	8	123779|126075|129079|132075|138664|141030	1
265	10444101	天赐金牌之炮弹	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	81	44	8	123779|126075|129079|132075|138664|141030	1
266	10454101	天赐金牌之圣经	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	81	45	8	123779|126075|129079|132075|138664|141030	1
267	10464101	天赐金牌之佛珠	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	81	46	8	123779|126075|129079|132075|138664|141030	1
