INT	STRING	STRING	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING			
138509	轮回台入口	\t不能让那些通过时空之门进入轮回台的怪兽威胁到王国的安危，我十分需要一些勇士去阻止它们的脚步。\n\t勇士，如果你有这样的信心和勇气，我可以将你送到轮回台。	-1	700081					8				
138510	天井坑入口	\t传说中的不死魔君扎兰丁，当年被成吉思汗亲手关在永夜天牢之中并以十大萨满之力将他封住。百余年过去后，他的力量非但没有削弱反而越来越强，最近甚至企图挣脱封印的控制。我们急需一些勇士阻止他逃出监牢危害一方。\n\t勇士，如果你有这样的信心和勇气，我可以将你送到永夜天牢之中。	-1	700081					8				
138511	囚龙岛入口	\t“霹雳神火诀”记载了最厉害的火器制作方法，一旦落入欧洲诸国手中，不久的将来，西方人将手持火器而来，中原大地将受到灭顶之灾。我奉郭侃将军之命，在此召集一批勇士，前往囚龙岛调查郭宝玉将军当年战败的原因，并取回遗失的“霹雳神火诀”。\n\t勇士，如果你有这样的信心和勇气，我会带你前往囚龙岛。	-1	700081					8				
138512	战神墓入口	\t伟大的蒙古战神旭烈兀之墓最近受到了盗墓贼的破坏，我急需一支精英队伍，进入战神墓去惩罚那些入侵的盗墓贼。\n\t如果你做好了准备，我可以将你送到战神墓。	-1	700081					8				
138513	东海眼入口	\t东海海眼最近一直有异动，深夜时候常有怪声传来，惊扰了宁静的珍珠渔港，我需要一支队伍到海底去一探究竟。\n\t勇士，如果你有这样的信心和勇气，我可以将你送到东海眼。	-1	700081					8				
138514	宝石商人	\t和田的碧玉，西方的猫眼还有珍珠和玛瑙，都上等的极品，快来看看啊！	-1	560306					7				
138515	王国戍边军统领	\t朋友，如果你删除角色，你所有的武器装备将全部消失而且永不能恢复！\n\t朋友，你真的确定要这么做吗？请三思而后行！	-1	561102					-1				
138516	王国城防军统领	\t王城的防卫固若金汤！	-1	300511					-1				
138517	群牧监	\t王城的战马是国家的基础和命脉，我的职责就是想办法让所有的战马膘肥体壮。	-1						-1				
138518	司农监	\t很多年前，我的父亲死于一场饥荒，从那天开始我就发誓不让王国内不再有人挨饿。	-1						-1				
138519	大司政	\t英明的君主要靠贤明的大臣，我的职责就是要王国的领导者时时记住自己的职责。	-1	300658					-1				
138520	王国接待官	\t远方的客人，欢迎来到王国。虽然我这里忙的不可开交，但是我也很乐意为你抽出一点时间。	-1						-1				
138521	王城驿卒	\t默认对白空缺中。	-1						-1				
138522	群牧监战马募集使	\t我的工作是为王国募集大量的良种战马，任何一匹好马都逃不出我的眼睛，只需那么一眼，我便能看出马匹的优良劣汰！	-1	920006					-1				
138523	征税官	\t我有足够的理由怀疑那些商人是故意不缴税、甚至是偷税漏税的。税收关系国防民生，我可以赋予你征税的特权！	-1		1417				-1				
138524	巡按督查使	\t城外那些小小的动物们，也能被称为“野兽”？它们完全不配让我这个王国的首席猎手出马！	-1		1363				-1				
138525	20级迷宫传送人	\t我正在召集勇士们前往#G外高加索#W，#G乌孙古道#W，#G葱岭西麓#W。\n\t#Y@myname#W，若你实力足够，我会指引你去那里。	-1	305003	3062|3128|3130				-1				
138526	40级迷宫传送人	\t我可以将你送到40级迷宫中，你真的要进去么？	-1						-1				
138527	60级迷宫传送人	\t我可以将你送到60级迷宫中，你真的要进去么？	-1						-1				
138528	仓库管理员	\t愤怒时不要做决定，正如不安全时不要轻易开启仓库一样。	-1	561000|561001|561004|561005	1425				-1				
138529	免费治疗医师	\t嘿！勇士，你受伤了么？我家世代在这里行医，我的医术可是远近闻名的。如果你需要，我可以免费为你治疗，不收取任何报酬！	-1	211023					-1				
138530	巴图	\t我们为民解忧，施放药物，是一项很光荣的事情。	-1	211023					-1				
138531	帮战发布人	\t有人的地方就有江湖，有江湖的地方就有恩怨，江湖不相信眼泪，只有凭实力说话。\n\t想要解决帮派之间的恩怨，你可以来找我。	-1	300641|300642|300746|300747|300748|300749|300615					6				
138532	国战发布人	\t不要轻易发动对其他国家的侵略，除非你有成吉思汗那样的领导才能和天才的战略头脑。当然，如果能为国家带来巨大利益的话除外。	-1						5				
138533	帮会任务发布人	\t毫无疑问，你一定预感到了长生天给你的使命，在我们的字典里，“征服”这两个字永远是你们的使命！做好了准备，就该踏上这条光荣、神圣的道路吧。\n\t我们需要像你这样的年轻人，去完成各种任务。	-1	300766|300767|300768|300770|300771|300772|300773|300774|300704|300836|300784|300804|300830					6				
138534	国家管理员	\t天下兴亡，匹夫有责！个人的荣辱与国家的兴衰密切相关。\n\t你希望为国家分忧的话，那就来找我吧。	-1	300657|300815|310100|300316|300829|300315|300649|300651|310152|310153|310114|310115|310111|310112|300652|300653|300318	7559|7600				5				
138535	帮会管理员	\t在江湖行走靠的是什么？不外乎三点：钱多，兄弟多，够义气！\n\t如果你想要创建帮会或者加入帮会可以随时来找我。	-1	300972|300839|211000|211035|300632|300633|300634|300715|300828|300785|300786|300787|300788|300789|300790|300791|300719|570052|570053	3127				6				
138536	师徒管理员	\t我可以帮你完成拜师和收徒的重要仪式，不过我要提醒你，拜师就像混黑社会，最重要的就是找一个好老大。	-1	300361|300362|300363|800039|800040|800012|800011|300360|920007	3124|9336				-1				
138537	荣誉商店	\t荣誉就像是勇士身上的伤疤，虽然看起来残酷，却总是散发着耀眼的光芒。\n\t我这里有为真正的勇士准备的上等装备。	-1	570000|570001|570002|570003					7				
138538	声望商店	\t这些装备多少钱我都不卖，如果你确实需要，想办法提升自己的声望，我每天都会在这里。	-1	560086|560125|560111|560112|560147|560148|560149	3051|3092				7				
138539	药店商人	\t漂泊江湖，经常会受伤，带上一些疗伤的药剂是十分必要的！	-1	560110	3099|3100|3101|3102|3103|3104 				0				
138540	防具店	\t拥有一身精良的防具，可以更多的减少在战斗中遇到的伤害！我会为你提供最精良的防具！	-1	560105	1542				7				
138541	武器店	\t挑选武器的宗旨在于得心应手，或锐利无比，或厚重无锋。\n\t我这里没有什么神兵利器，但都很实用，你随便挑。	-1	560100	1541				7				
138542	铭刻大师	\t在装备上铭刻着属于自己的标志，还能让装备更加结实，想想都让人向往。如果你想铭刻你的装备，不妨考虑一下我这里。	-1						10				
138543	金币商人	\t我这里只买卖那些不会受次贷危机和通货膨胀影响的东西。	-1	560150|560909|560914|560916|560917|560918					7				
138544	领双管理员	\t如果想让你的效率变得更高就要来找我，但是机会是有限的哦！	-1	561002|570056	3063				-1	951			
138545	符文改造大师	\t不要小看小小的一片符文，那是先贤们智慧和力量的结晶，如果你把它附着在装备上，将会产生惊人的力量！	-1	800001|800017|800117|800119|560202|561251|800079|800080|800118					15				
138546	打造大师	\t炉火烧的正旺，你需要打造什么，很快便能给你弄好，当然，秃儿坦打造的装备一定会保证质量。	-1						14				
138547	哥舒宝	\t宝石是不可多得宝物，拥有了宝石就如同掌握自己命运前进的方向。	-1						-1				
138548	盛奘	\t换装备就像过日子，要精打细算，打星、麻将、铭刻这些是装备的精华，我可以帮你把它们完美无缺复制到同级的新装备上。	-1	800061|800066|800067|800068					15				
138549	装备材料商店	\t想要为你的装备镶嵌宝石，可少不了我这里出售的工具。	-1	560140					7				
138550	骑乘道具商人	\t骑乘是你一生最大的伴侣和战斗伙伴，它们的强弱和好坏，健康和能力，都需要得到提升。我可以提供各种道具，当你的骑乘需要的时候！	-1	560146					2				
138551	徽章商店	\t我不缺钱，年轻人！我只是鼓励你们这些年轻人要为国出力，当你消灭敌国的敌人时，会获得应有的荣誉。我需要这样的荣誉，你可以用它跟我换取珍贵的徽章和宝石。	-1	560020|560021|560022|560160|560136|800109	1467				7				
138552	帮会商店	\t这里的珍贵物品只提供给帮会的兄弟！我建议你多为帮会着想，这样你可以从我这挑选更好的物品！	-1	560155|560156|560157|560158|560159|560167|560168					7				
138553	装备打星	\t做好远行的准备了吗？把你的装备给我，我可以让你的装备的实力上升到新的高度。	-1	800047|800072	3052|3093|3120				1				
138554	装备镶嵌师	\t宝石是不可多得宝物，拥有了宝石就如同掌握自己命运前进的方向。\n\t如果你有幸获得宝石，你可以来找我这里试试，我可以把宝石镶嵌在你的装备上，霞光异彩，漂亮极了。\n\t如果有需要，我也可以帮你拆解下来。	-1	800000|800028|800058|800064|800062|800063|561256|800073|800074|800075|800076|800077|800078	3053|3094|3095				12				
138555	珠宝加工	\t想成为一个珠宝大师，耐心和细心是必不可少的。	-1	560131|890002|540011	1479|3076				-1				
138556	药品制造	\t我可以教你如何制药，当然，如果你需要我的配方的话，你要有所付出才行。	-1	560132|890001|540010	1481|3072				-1				
138557	骑乘技能书商人	\t骑乘的技能至关重要，拥有杰出技能的骑乘可以让你在作战的时候更加勇猛！我可以提供各种骑乘的技能书，提升骑乘的能力！	-1	560145|256001					2				
138558	草原三宝	\t你知道这草原上最难得的三宝吗？珍宝毛皮，明目胆汁，血玉骨！\n\t如果你能给我带来这三宝，我一定不会亏待你的！	-1						-1				
138559	材料收集人	\t我正在为了王国收集物资！如果你愿意有所捐赠，我们不会忘记你的功劳！	-1	300502	8053				-1				
138560	齐续番	\t想拿到高额副本奖励的勇士们，集合好队伍，骑上战马，拿起刀枪。\n\t只要付些银两，在我这里进入副本就会得到数倍的经验奖励。	-1	700079|700082					8				
138562	内政发布人	\t很多时候，传奇的人生就是在日复一日的平凡生活中铸成的。\n\t所有的内政任务都是由我发布的。	-1	300521					-1				
138563	龙眼石兑换	\t如果你有足够的龙眼石，我可以考虑用一些强大的装备来交换。	-1	570000|570001|570002|570003	1424|3110				7				
138564	武士技能大师	\t没有了征战的日子，我只能在这里训练新兵为乐。\n\t虽然看起来其它十一个职业的功夫都很花哨，但是在武士面前一切都是没用的，当然有一个萨满做朋友的话，我可以省去很多疗伤的时间。	-1	800041	1530				-1				
138565	剑侠技能大师	\t我不喜欢贬低别人来抬高自己，不过在我眼里，所谓的勇猛都是蛮力，武学的最高境界应该是轻灵飘逸，潇洒自如。	-1	800042	1531				-1				
138566	火枪手技能大师	\t火枪是最省力的职业了，你要做的只是把枪对准目标。不管其他职业功夫如何了得，只要你够准，绝对能在他接近你之前干掉他。	-1	800045	1533				-1				
138567	骑射手技能大师	\t火枪的重点在于把握好射击距离和装弹的时间，而骑射最重要的是要懂得如何灵活地运用各种陷阱，始终把敌人操纵在你的股掌之中，这一点是任何职业都望尘莫及的。	-1	800043	1532				-1				
138568	萨满技能大师	\t没有武士和十字军那样强健的体魄，火枪和近卫军那样巨大的破坏力，剑侠和圣火使风一般的轻灵，也没有先知和僧侣绚丽的法术，骑射和刺客的敏捷，但我们却是所有职业最坚实的后盾，我们的存在，驱散了死亡的阴影。	-1	800046	1534				-1				
138569	先知技能大师	\t刀斩肉身，心斩灵魂。在肉体的比试之前，精神上已经决定了成败。	-1	800044	1535				-1				
138570	运镖回复人	\t歇歇脚吧！	-1	300611					-1				
138572	公车发起人	\t乘坐我这里的游览公车，除了可以饱览整个王城的风景之外还可以结交很多亲密的朋友！	-1	310084					-1				
138573	七夕姻缘店	\t七夕的夜晚，无数善男信女会面对漫天繁星祈求美满姻缘的降临。\n\t值此佳节，别忘记在我这里挑一件七夕礼物给心仪之人。 	-1	560900|350002|350003					-1				
138575	王城百事通	\t王城里没有我不知道的事情，如果你有什么不清楚的，尽管来问我。	-1		1544|1572|3050|1556|1557|3056|3057|3058|3059|3060|3061|3070|3091|3113|3114				-1				
138576	好友管理员	\t千万不要为那些浮云一般的金钱和名望，放弃一份真挚的友情。	-1		1200				-1				
138577	补偿领取	\t天有不测风云，人有旦夕祸福，如果发生了不幸，或许我能给你一定的补偿。	-1	561101|561100|561103|585001|350007					17				
138578	银票兑换	\t如果你手头有银票需要兑现，随时来找我。我会以各种银票的面值一分不少的兑换给你银卡。	-1	800056					-1				
138579	仓库管理员	\t你可以把多余的东西存在仓库里面，不过，我只能有限提供免费服务，如果你需要扩展仓库，我需要点手续费，只是一点点而已！	-1	561000|561001|561004|561005					-1				
138580	天降宝箱	\t最近王城各处都出现神秘的宝箱，这一定是长生天感应到了我们虔诚的祈祷！	-1		1362				-1				
138581	国师	\t近日王城内外危机四伏，虽然几位将军竭力维持，但人手短缺始终是个问题。看来是时候招募一批年轻勇士了。	-1						-1				
138582	首饰加工	\t一颗华贵的戒指或者手镯，能使你增色不少。	-1						-1				
138583	千佛窟传送人	\t我正在召集人手保护藏宝洞，佛祖的真身舍利绝不能落在那些败类手中！	-1	700081					8				
138584	西仓库管理员	\t你可以把多余的东西存在仓库里面，不过，我只能有限提供免费服务，如果你需要扩展仓库，我需要点手续费，只是一点点而已！	-1	561000|561001|561004|561005	3054				-1				
138585	东仓库管理员	\t你可以把多余的东西存在仓库里面，不过，我只能有限提供免费服务，如果你需要扩展仓库，我需要点手续费，只是一点点而已！	-1	561000|561001|561004|561005					-1				
138586	免费治疗医师	\t你好啊，年轻人，我们又见面了！就算在这边，我们也听说了你的英勇事迹。我可以免费为你治疗，不需要任何报酬！	-1	211023					-1				
138587	免费治疗医师	\t你好啊，年轻人，我们又见面了！就算在这边，我们也听说了你的英勇事迹。我可以免费为你治疗，不需要任何报酬！	-1	211023					-1				
138588	王国财务大臣	\t我正在招收人手，押运王国的物资。如果你对自己的实力有信心，不妨一试。\n\t每次成功的押运都会为你带来巨大的回报，当然，风险也是并存的。	-1	300817	7001|7009|7010|7543|7544|7545|7549|1430				-1				
138589	现金寄售管理员	\t奉海迷失太后之命，我在这里管理钱庄相关的事务。你可以在我这里开户进行钱庄交易操作。钱庄交易以银子作流通货币，以金子为交易对象，约定一两金子为最小交易单位。\n\t#G请注意：如果您的钱庄账户已持续30天没有任何交易操作，将被系统自动删除，账户内资金直接返还进您的背包中。请记得及时进行交易哦。	-1	310351|310350					-1				
138590	运镖保险	\t押运这种高回报的好事，必然伴随着高风险，来我这里给你押运的货物买个保险吧，至少，当你遇到什么意外不会血本无归。	-1	300610|300612					-1				
138591	王国采集大师	\t我伊乌语在王城里是出名的慷慨，只要你愿意学，我一定能教会你采集技能。	-1	540000|540200	3071				-1				
138592	王国采矿大师	\t这采矿没有什么捷径可走，只有辛苦的挖掘才能换来丰厚的回报。	-1	540001|540202	1480|3075				-1				
138593	王国捕捉大师	\t任何活着的东西都有它的价值，想要做一个捕捉好手，理解这一点很重要。	-1	540002|540201	1478|3073				-1				
138594	西域编织大师	\t上次一位路过的诗人为我写了两句诗：风吹柳叶，古筝悠扬，并给我起了“柳筝”这个名字。\n\t我每次夜深之时都在想这两句诗的含义，可惜至今未能明白。\n\t何时他能再归来啊……	-1	540009|540012|560113	1477|3074				-1				
138595	威望值商店	\t只有那些乐于帮助新手的好心人才会获得威望值，你可以用你的威望值来换取你所需的物品。	-1	560908|103000|300359					7				
138596	银票商店	\t我是王城的银票商人，在我这里你可以把手中的现金兑换成为银票。	-1	560909					-1				
138597	战车	\t我，是王国押运官脱脱彻的助手，如果你觉得押运耗费的时间过于漫长，我可以帮你一把，当然，你要给我一定的报酬。	-1	300762	7031				-1				
138598	删除任务道具	\t您身上是否有多余的任务道具，如果您觉得对您没有价值，就把它交给我这个收集废品的老人吧。	-1	800057					-1				
138599	济贫	\t每件装备都有它独特的属性，能不能发挥它的最大潜能就要看它的主人懂不懂得合理的利用了。	-1	800059|800088|800060|800089|561253|800083|800090|800084|800091					15				
#	闲人												
138600	美女琴音	\t人人都说这女人呀，想漂亮就得靠化妆，我看未必。就比如说我吧，我的美完全是天生丽质。	-1						-1				
138601	屠夫赵不平	\t看大街上人来人往的坐骑真是又拉风（hong）又漂亮啊，不知道我什么时候能搞到一匹威风一把。	-1						-1				
138602	耶律伟奇	\t我伟奇是个粗人，也不会讲什么大道理，只知道跟着族长就是了，他到哪里我就跟他到哪里。	-1						-1				
138603	琪琪格尔	\t我带着孩子回娘家，回来的路上发现了很多黑衣人，现在不知村里发生了什么情况，请你帮我到前面打探一下情况好吗？	-1						-1				
138604	耶律云翔	\t我想回家了，我不想呆在这里，这里一点也不好玩。	-1						-1				
138605	多多尔朵	\t我经常进山收草药，最近一群不明来路强盗占据了那里，你进山要小心啊！	-1						-1				
138606	柳志玄	\t我和师傅相约在王城南门外会合，前面就是王城了，数月不见不知师傅是否安康。	-1						-1				
138607	娜姬古尔	\t南面的灰袍萨满非常凶恶。	-1						-1				
138608	朵儿图	\t我沿着前面的道路要去找回我走失的羊。	-1						-1				
138609	答呼尔罕	\t我在前面的山谷里遇到了强盗，身边所带货物被洗劫一空，我能活着回来真是不幸之中的万幸。	-1						-1				
138610	别勒台勒	\t由此向北就是王城西门。	-1						-1				
138611	托里图	\t前面是何物如此耀眼夺目，我要上前去看个究竟。	-1						-1				
138612	图尔图	\t我想到海边去玩。	-1						-1				
138613	忽尔阔出	\t我堂堂博尔术家族后人，竟被一群海盗驱赶至此，真是无颜面对祖宗。	-1						-1				
138614	云格	\t家里的粮食不多了，现在海边又被海盗占了，这日该怎么过啊？	-1						-1				
138615	阿兹不黑	\t不要打扰忽尔阔出，让他静静。	-1						-1				
138616	木图柯	\t现在该怎么办，王城的部队到现在也没有将海盗击退，我们什么时候才能回到自己的村庄。	-1						-1				
138617	吉吉不哥	\t我们不能坐以待毙，要想办法将海盗一网打尽。	-1						-1				
138618	阿纳律	\t我刚到海边侦查回来，发现那里有海盗人数众多，为了救黛莉丝我和他们交了手，他们的战斗力不可小觑。	-1						-1				
138619	图里	\t我虽然是巫王的仆人，但我从不做伤天害理的事。	-1						-1				
138620	答答里	\t最近王城局势不稳，这里是进出王城的要道，我奉皇命在此盘查过往行人。	-1						-1				
138621	王城戍边军	\t这里没有异常情况，一切都很正常。	-1						-1				
138622	王城戍边军	\t在这个地方执勤，一点乐趣都没有。	-1						-1				
138623	塔娅	\t过了这么久，妈妈怎么还没回来啊。	-1						-1				
138624	君瑶	\t跟随父亲学习制瓷多年，我最欣赏的就是大元的钧窑瓷，釉色鲜亮美轮美奂。	-1						-1				
138625	大窑匠	\t本窑烧出的瓷器虽比不上中原瓷器，但在瓷器器形上很受王城子民喜欢。	-1						-1				
138626	窑工	\t再等一天，这炉瓷器便可开炉了，希望能卖个好价钱。	-1						-1				
138627	黛莉丝	\t是阿纳律将军刚刚把我从海盗手里救出来，听说他尚未婚配，不知我们能否结缘。	-1						-1				
138628	赌徒阿克莫	\t我以前是王城的富户，不过前一段时间手气不好把城里的房产都输了，才搬来此处。你若是想问我山里的情况，怕要付些银两。	-1						-1				
138629	呼帖格	\t边境现在刀兵四起，战火不断，只能到王城亲戚家中暂避一时。	-1						-1				
138630	阿次尔格	\t权利真是让人发狂，当权者为一己之私竟置百姓生死于不顾。	-1						-1				
138632	浑呼	\t这世道，到处都是强盗乱兵，什么时候才能安定下来啊！	-1						-1				
138633	王城戍边军	\t但愿别派我到边境去戍边。	-1						-1				
138634	王城戍边军	\t每天都有很多人从边境逃往王城！	-1						-1				
138635	王城戍边军	\t前面就是边境，现在边境很不太平，一路上匪患不断。	-1						-1				
138636	放牧人	\t前面山中来了一个怪物，前日我在山中放牛，这个怪物突然出现，它一口就吞掉了一头黄牛，当时我吓坏了。	-1						-1				
138637	放牧人	\t我的一群羊在山中走失了，那是我一家的命根子，山中的巨人虽很可怕，但我也要冒险走一趟。	-1						-1				
138641	宜兰黛丝	\t我自幼习舞，此次跟随叔父的商队远赴大都，就是为了见识中原的《霓裳羽衣舞》。今受真金太子邀请入宫献艺，真是荣幸之至。	-1						-1				
138642	包尔汗随从	\t我的主人不远千里来此，目的就是为了凭吊先人。	-1						-1				
138643	包尔汗	\t我的家族本世居王城，在当地颇有威望，在蒙古大军西征期间举家南迁，幼时祖父经常带我来此祈福，光阴如梭，转眼已过数十载。	-1						-1				
138644	吉尔胡	\t听说宜兰黛丝舞艺超群，太子殿下特意命我来请其入宫献艺。	-1						-1				
138645	青格儿	\t我每天都和弟弟到山上来玩，山上的那座古堡很神秘啊。	-1						-1				
138646	勒古迭儿	\t我刚才看见两个穿着很奇怪衣服的人上山了。	-1						-1				
138647	蒙古诗人	\t由大都游历至此，今亲见西域壮丽河山，不由得使我诗兴大发。	-1						-1				
138648	古尔格尔	\t经我之手训练出的战马已不计其数，我是这里最好的驯马人。	-1						-1				
138649	托尔帖	\t这里每出生一匹马驹我都很高兴，我希望他们将来不会去做战马。	-1						-1				
138650	阿图勒黑	\t牧场的粮食已经收割完毕，只等王城官爷们的马车了。	-1						-1				
138651	都都尔	\t小心王城南门外的野兽，一定要注意别被咬伤。	-1						-1				
138652	呼里根	\t这是王城东门外，看这里商贾云集，很是繁华啊。	-1						-1				
138653	兰琪格	\t前面的马车真漂亮，我真想坐一坐。	-1						-1				
138654	阿勒和	\t我是本地的乡绅，有什么能帮助你的，你大可直说。	-1						-1				
138655	托里罕	\t我祖上是成吉思汗手下的大将忽必来。先大汗为表我祖上之功，许我家族世代管理马匹贸易。	-1						-1				
138656	博尔不花	\t前面就是铁骑牧场了，里面盛产各种名马。近些时日，马匪猖獗，马匹生意利润陡增。	-1						-1				
138657	车夫	\t我家主人金算盘让我去接一位故交，不想行至此地车子坏了，看来回去定受责备。	-1						-1				
138658	玄青子	\t看来此檀香炉就是当年先师祖长春真人丘处机西行时，成吉思汗为欢迎他，特意命能工巧匠精心打造的。虽历经数十载风雨，但炉上铭文依然清晰可见，不愧是炉中精品啊！	-1						-1				
138659	呼娜	\t幸好山中强盗劫掠之时，我躲避及时，要不也会被他们抓进山里。	-1						-1				
138660	戍边卫兵	\t边境烽烟四起，兵祸不断，安全起见还是请勿前往。	-1						-1				
138661	戍边卫兵	\t如果那些逆贼打过边境，犯我王城，我辈必奋勇杀敌，捍卫勇士的尊严。	-1						-1				
138662	突厥锻造术	\t我的技艺虽不比中原古代的铸剑大师欧冶子，但在王城铸造兵器的匠人中，我的技艺无人可敌。	-1	540005|540013|560830|560831|560832	3078				-1				
138663	罗马铸甲术	\t罗马所铸盔甲曾是西方无数贵族竞相追逐的物品，我的先人曾远行罗马学习铸甲术，如今到我，此技艺已相传四代。	-1	890000|540014|560836|560837|560838|560839|560840|560841	3077				-1				
138664	波斯工艺术	\t好的工艺品不仅要有质地好的原材料，制作完成后还要再精心的打磨。	-1	540006|540015|560848|560849|560850|560851|800004|800065|561255	3079				-1				
138665	装备回收人	\t人生如白驹过隙，又如朝露，每一分努力都值得珍惜和回顾。\n\t想要将过去的努力拿回来再利用就来找我吧，我不能让你穿越时空回到过去，但是却可以让你拿回曾经的付出。	-1	800037|800109|800069|800112					7				
138666	商人1	\t我很喜欢收购那些帮会货物，没有实力的人，是根本弄不到这些紧俏货物的。	-1	300672					-1				
138667	商人2	\t你要是想赚取些银钱，不妨加入帮会跑商的行列！	-1	300672					-1				
138668	商人3	\t由于其他几个商人的出现，导致我现在收购帮会货物的价格越来越高，这些人实在可恨。	-1	300672					-1				
138669	特殊巡逻商人	\t无商不奸，这是长久以来人们对我们商人的误解，只要货物好，我一向都是高价收购。	-1	300672					-1				
#	卫兵 传送								-1				
138700	王城卫兵	\t我家老头子可是远近闻名的装备锻造大师，有什么需要的尽可以去找他！	-1						-1				
138701	王城卫兵	\t在我还没有成为王城守卫的时候，苏儿台将军曾经救过我和我老爹的命！	-1						-1				
138702	王城卫兵	\t弟弟整天都被隧道里的怪声吓得发抖，真是个可笑的家伙。	-1						-1				
138703	王城卫兵	\t听说忽都儿将军的那口宝刀乃是天外玄铁打造的，正因为这把刀，他才能在战场上战无不胜。	-1						-1				
138704	王城卫兵	\t为什么不让我去参加抗击海盗的军队？就算是马革裹尸也好过整天在这里无聊地站着。	-1						-1				
138705	王城卫兵	\t脱脱哈真是一个黑心商人，每次拆解装备都要占客人的便宜。	-1						-1				
138706	王城卫兵	\t啊~~~，真是困死我了，要是有午睡就好了。	-1						-1				
138707	王城卫兵	\t说到打造装备的技术，秃儿坦是当之无愧第一，不过要说到修理的本事如果忽里虎认了第二的话，就没有人敢认第一。	-1						-1				
138708	王城卫兵	\t我曾经跟随过一支强大的队伍前往永夜天牢，那是一次惊心动魄的历险，如今还想而后怕，记忆犹新！	-1						-1				
138709	王城卫兵	\t最近关于金矿洞有妖魔的流言越来越多，这可不是空穴来风，几个月前我就听到恐怖的声音，我是从那里调过来的，这点我最清楚。	-1						-1				
138710	王城卫兵	\t嘿！伙计，听说过战神墓吗？我也想去看看……	-1						-1				
138711	王城卫兵	\t你有疑问的话，可以去找万事通那个老家伙，据说他上知天文下知地理，城里的事无一不知！	-1						-1				
138712	王城卫兵	\t最近很多人都在讨论囚龙岛的事情，也许你应该关注一下。	-1						-1				
138713	王城卫兵	\t珍珠渔港是我长大的地方，听说最近不太平，会不会是那个传说中的东海海眼有古怪呢……	-1						-1				
138714	王城卫兵	\t大元来的马可波罗大人真是博学，这几天给我讲了很多奇人异事，听说大都的繁华举世无双，金砖铺地，翡翠为床，到处都是珠光宝气，我这辈子要是能去看上一眼，也就知足了。	-1						-1				
138715	王城卫兵	\t你有疑问的话，可以去找万事通那个老家伙，据说他上知天文下知地理，城里的事无一不知！	-1						-1				
138716	钥匙老人	\t每一个人都有自己来到这个世界的使命，你和我都一样。我的使命是指引你到你该去的地方，而你的使命是与成吉思汗共同铸就一段千古流传的历史神话。	-1						-1				
138717	王城驿卒城内	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550012|550030|550037|550046	1502				4				
138718	王城驿卒圣山	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550010	1500				4				
138719	王城驿卒渔港	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550016	1506				4				
138720	王城驿卒城南	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	310154|550015	1505				4				
138721	王城驿卒玄石	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	310154|550013	1503				4				
138722	王城驿卒灵芝	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	310154|550014	1504				4				
138723	王城驿卒城东	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550011	1501				4				
138724	王宫侍卫	\t听说苏儿台大将军双手能开千斤的硬弓，五百步之内可以射穿靶心。	-1						-1				
138725	王宫侍卫	\t蓝太后真是一位贤明的太后，一个人独自抚养太子长大成人。	-1						-1				
138726	王宫侍卫	\t皇宫重地，不许乱闯！	-1						-1				
138727	王宫侍卫	\t保卫太子和太后的安全是我们的职责。	-1						-1				
138728	王宫侍卫	\t听说忽秃鲁大人成功地改良了一种稻米的种植，解决了以往粮食不足的问题，太子特意铸了一块金牌给他。	-1						-1				
138729	王宫侍卫	\t赤不花大人做事公正严明，从不徇私枉法，连蓝太后的侄子都受到过惩罚。	-1						-1				
138730	王宫侍卫	\t嗯？你是什么人？有通行令牌么？	-1						-1				
138731	王宫侍卫	\t啊～～，每天都这么无聊。怎么还没到换岗的时间？	-1						-1				
138732	巡逻卫兵	\t恩？你问我是谁？我是堂堂的王城巡守。你是什么人？干什么的？犯过什么案子没有？有没有人证、物证、暂住证？	-1						-1				
138733	巡逻卫兵	\t撒都迈是个狡猾的商人，在他那里几乎可以买卖任何东西。他非常贪心，但是他的那些上等货品让你无法挑剔。我建议你在和他交易时，最好把两个眼睛都睁得大大的…… 	-1						-1				
138734	巡逻卫兵	\t你来找我是遇到了什么困难么？我是一名王城巡守，助人为乐是我的天职，有困难我要帮，没有困难制造困难也要帮！ 	-1						-1				
138735	王宫侍卫	\t据说没有人能躲过忽都儿将军的绝技“迎门三刀”，因此大家送给他一个称呼，叫做“过三刀”。	-1						-1				
138800	马夫勒古台	\t唉，巴依老爷整天作威作福，喂狗都用羊腿，我们这样的穷人却只能吃糠咽菜，连富人家的狗都不如。	-1						-1				
138801	约翰尼	\t离开大都以来真是困难重重，每天都在提心吊胆的度过。	-1						-1				
138802	格根	\t王城的安全是我的责任，最近突然来了不少外国官员，不知道是不是又要打仗了，如果你发现了什么可疑之处，要立刻来报告给我。	-1						-1				
138803	乌力吉	\t默认对白空缺中。	-1						-1				
