INT	INT	STRING	STRING	STRING	STRING	STRING
1689	0	"苹果头，醒目的大圆眼睛, 体型小巧,成年后体型不过4斤左右的犬种是？"	鮟鱇鱼	杜父鱼	黑帽锥尾鹦鹉	吉娃娃犬
1690	0	下列哪种动物有4条腿？	澳洲鳗	短鳍鳗	阿得雷德玫瑰鹦鹉	德国牧羊犬
1691	0	下列哪种动物有4条腿？	巴哈马锯鲨	短尾线鳗	阿德莱玫瑰鹦鹉	猎狐梗犬
1692	0	活泼、开朗、强壮？行走的姿态昂首阔步，美国的犬迷们为此非常喜爱的动物是？	巴鳅	短吻锯鲨	艾尔欧若锥尾鹦鹉	杜宾犬
1693	0	下列哪种动物有4条腿？	巴西达摩鲨	多宝鱼	安汶岛国王鹦鹉	巴基度犬
1694	0	外表或天性都是最优雅、最高贵的犬种是什么？	巴鱼	翻车鱼	鹌鹑	大丹犬
1695	0	下列哪种动物有4条腿？	鲅鱼	鲂鱼	澳北玫瑰鹦鹉	西高地白梗犬
1696	0	下列哪种动物有4条腿？	白甲鱼	飞鱼	澳洲国王鹦鹉	伯恩山犬
1697	0	"全身披满丝状长毛，身材矮小,体形仅次于吉娃娃的小型犬叫什么？"	白鲨	非洲鳗	澳洲鸵鸟	约克夏犬
1698	0	下列哪种动物有4条腿？	白鳝	菲律宾鳗	八哥	黑背犬
1699	0	下列哪种动物有4条腿？	斑鲨	鲱鱼	巴布亚吸蜜鹦鹉	狼犬
1700	0	下列哪种动物有4条腿？	棒花鱼	风鳗	白耳锥尾鹦鹉	狼青犬
1701	0	魔幻小说中常出现的魔兽是？	豹纹鲨	凤尾鱼	白颈锥尾鹦鹉	魔狼
1702	0	下列哪种动物有4条腿？	北极茴鱼	鳡鱼	白鹭	孟加拉狐
1703	0	下列哪种动物有4条腿？	北鳅	鱤	白玫瑰鹦鹉	阿富汗狐
1704	0	下列哪种动物有4条腿？	比目鱼	狗鱼	白天鹅	南非狐
1705	0	栖息在开阔的草原和半沙漠地带，回避森林？主要在夜间活动的狐属动物是？	鳊鱼	鳤鱼	白头雕	沙狐
1706	0	下列哪种动物有4条腿？	扁鲨	鲑鱼	白项吸蜜鹦鹉	藏狐
1707	0	下列哪种动物有4条腿？	扁头平鳅	桂鱼	白眼鹦哥	敏狐
1708	0	下列哪种动物有4条腿？	波鱼大海鲢	鳜鱼	白眼锥尾鹦鹉	苍狐
1709	0	下面哪个选项是一种聪明的沙漠四足动物？	玻璃鳗	鳜鱼	百灵	吕佩尔狐
1710	0	下列哪种动物有4条腿？	玻璃鱼	海龙	北部玫瑰鹦鹉	草原狐
1711	0	下列哪种动物有4条腿？	草鲤	海马	伯克氏鹦鹉	赤狐
1712	0	下列哪种动物有4条腿？	草鱼	海鳗	伯纳德氏鹦鹉	耳廓狐 
1713	0	别名大猫熊，熊猫，貔貅，白熊，黑白猫，俗称国宝的动物是？	鲳鱼	海鳝	布谷鸟	大熊猫
1714	0	下列哪种动物有4条腿？	长鳍金枪鱼	合鳃鳗	彩绘锥尾鹦鹉	马来熊
1715	0	下列哪种动物有4条腿？	长鳍鳍鲇鱼	河鳗	超级鹦鹉	懒熊
1716	0	眼睛周围有一圈或粗或细的奶白色纹，俗称安第斯熊的动物叫什么？	长尾鲨	河魨	橙顶锥尾鹦鹉	眼镜熊
1717	0	下列哪种动物有4条腿？	长吻锯鲨	黑龙江杜文鱼	橙腹鹦鹉	熊齿兽
1718	0	下列哪种动物有4条腿？	赤眼鳟	黑鳗	翠绿吸蜜鹦鹉	猫熊
1719	0	下列哪种动物有4条腿？	锤头双髻鲨	魟鱼	大雁	大猫熊
1720	0	体形健硕，肩背隆起，粗密的被毛，俗称马熊的动物叫什么？	刺盖鱼	胡瓜鱼	丹顶鹤	棕熊
1721	0	下列哪种动物有4条腿？	达氏鳇	胡子鲇鱼	淡头玫瑰鹦鹉	美洲黑熊
1722	0	下列哪种动物有4条腿？	达氏蛇鱼	蝴蝶鱼	帝汶红翅鹦鹉	北极熊
1723	0	俗称为狗熊，黑瞎子的动物是什么？	大白鲨	虎鲨	喋喋吸蜜鹦鹉	亚洲黑熊
1724	0	下列哪种动物有4条腿？	大头鳗	花斑裸鲤	东部玫瑰鹦鹉	阿特拉斯棕熊
1725	0	下列哪种动物有4条腿？	大眼长尾鲨	花鳅	东玫瑰鹦鹉	北非棕熊
1726	0	下列哪种动物有4条腿？	带鱼	花鳅鱼	杜鹃	懒熊
1727	0	下列哪种动物有4条腿？	鲷鱼	华南鲤	鹅	马来熊
1728	0	它是4种貘中体型最巨者叫什么？	鲽鱼	黄貂鱼	鸸鹋	马来貘
1729	0	下列哪种动物有4条腿？	东坡鲤属	黄花鱼	非洲灰鹦鹉	三趾树懒
1730	0	下列哪种动物有4条腿？	东坡鱼	黄鳗	非洲鸵鸟	二趾树懒
1731	0	鸟体为绿色，额头和头顶为暗棕色的动物叫什么？	黑帽锥尾鹦鹉	鮟鱇鱼	泥鳅	猪
1732	0	下列哪种动物属于鸟类？	阿得雷德玫瑰鹦鹉	澳洲鳗	拟皱唇鲨	马
1733	0	下列哪种动物属于鸟类？	阿德莱玫瑰鹦鹉	巴哈马锯鲨	鲇鱼	牛
1734	0	下列哪种动物属于鸟类？	艾尔欧若锥尾鹦鹉	巴鳅	鲶鱼	羊
1735	0	鸟体为红色，翅膀的小覆羽，尾巴上方覆羽均为蓝色的动物叫什么？	安汶岛国王鹦鹉	巴西达摩鲨	欧洲鳗	猫
1736	0	下列哪种动物属于鸟类？	鹌鹑	巴鱼	爬岩鳅	狗
1737	0	下列哪种动物属于鸟类？	澳北玫瑰鹦鹉	鲅鱼	胖头鱼	刺猬
1738	0	体型最大的澳洲长尾鹦鹉，也是体型最大的王鹦鹉叫什么？	澳洲国王鹦鹉	白甲鱼	平鳍鳅	老虎
1739	0	下列哪种动物属于鸟类？	澳洲鸵鸟	白鲨	平鱼	狮子
1740	0	下列哪种动物属于鸟类？	八哥	白鳝	前肛鳗	熊
1741	0	下列哪种动物属于鸟类？	巴布亚吸蜜鹦鹉	斑鲨	翘嘴红鲌	豹子
1742	0	鸟体为绿色，鸟喙上有一条细窄的暗棕色底色；眼睛周围以及脸颊为红棕色的动物叫什么？	白耳锥尾鹦鹉	棒花鱼	青鳝	犀牛
1743	0	下列哪种动物属于鸟类？	白颈锥尾鹦鹉	豹纹鲨	青鱼	蜥蜴
1744	0	下列哪种动物属于鸟类？	白鹭	北极茴鱼	鲭鲨	鳄鱼
1745	0	下列哪种动物属于鸟类？	白玫瑰鹦鹉	北鳅	鲭鱼	大象
1746	0	全身体羽为白色？嘴基黄色，长脖子？腿部较短，脚上有蹼的动物叫什么？	白天鹅	比目鱼	雀鳝	长颈鹿
1747	0	下列哪种动物属于鸟类？	白头雕	鳊鱼	日本锯鲨	黑猩猩
1748	0	下列哪种动物属于鸟类？	白项吸蜜鹦鹉	扁鲨	日本鳗	乌龟
1749	0	下列哪种动物属于鸟类？	白眼鹦哥	扁头平鳅	日本须鲨	海龟
1750	0	下列哪种动物属于鸟类？	白眼锥尾鹦鹉	波鱼大海鲢	绒毛鲨	驴子
1751	0	体长约190毫米；体羽呈砂色，具暗色纵纹；后爪长而直的鸟叫什么？	百灵	玻璃鳗	如花鱼	梅花鹿
1752	0	下列哪种动物属于鸟类？	北部玫瑰鹦鹉	玻璃鱼	三角鲂	袋鼠
1753	0	下列哪种动物属于鸟类？	伯克氏鹦鹉	草鲤	沙丁鱼	考拉
1754	0	下列哪种动物属于鸟类？	伯纳德氏鹦鹉	草鱼	沙拉白眼鲛	食蚁兽
1755	0	叫声特点是四声一度——“布谷布谷”的鸟叫什么？	布谷鸟	鲳鱼	沙鳅	狼
1756	0	下列哪种动物属于鸟类？	彩绘锥尾鹦鹉	长鳍金枪鱼	鲨鱼	狈
1757	0	下列哪种动物属于鸟类？	超级鹦鹉	长鳍鳍鲇鱼	鳝鱼	豺
1758	0	下列哪种动物属于鸟类？	橙顶锥尾鹦鹉	长尾鲨	蛇鳗	河马
1759	0	下列哪种动物属于鸟类？	橙腹鹦鹉	长吻锯鲨	鯵鱼	骡子
1760	0	下列哪种动物属于鸟类？	翠绿吸蜜鹦鹉	赤眼鳟	食人鲨	骆驼
1761	0	飞行时队形即排成“人”或“一”字形的鸟叫什么？	大雁	锤头双髻鲨	康吉鳗	藏羚羊
1762	0	下列哪种动物属于鸟类？	丹顶鹤	刺盖鱼	腊光长鳅	驼鹿
1763	0	下列哪种动物属于鸟类？	淡头玫瑰鹦鹉	达氏鳇	蓝鳍金枪鱼	牦牛
1764	0	下列哪种动物属于鸟类？	帝汶红翅鹦鹉	达氏蛇鱼	姥鲨	角马
1765	0	鸟体为红色，肩膀为暗红色 ，背後有黄色羽毛的鸟叫什么？	喋喋吸蜜鹦鹉	大白鲨	鲤鱼	猛犸
1766	0	下列哪种动物属于鸟类？	东部玫瑰鹦鹉	大头鳗	连鳃鳗	东北虎
1767	0	下列哪种动物属于鸟类？	东玫瑰鹦鹉	大眼长尾鲨	鲢鱼	西伯利亚虎
1768	0	"什么鸟相传是古蜀帝杜宇的怨魂所化,每逢暮春,啼哭不休？"	杜鹃鸟	带鱼	裂腹鱼	阿穆尔虎
1769	0	下列哪种动物属于鸟类？	鹅	鲷鱼	鲮鱼	乌苏里虎
1770	0	下列哪种动物属于鸟类？	鸸鹋	鲽鱼	鲮鱼	满洲虎
1771	0	下列哪种动物属于鸟类？	非洲灰鹦鹉	东坡鲤属	柳叶鳗	朝鲜虎
1772	0	下列哪种动物属于鸟类？	非洲鸵鸟	东坡鱼	六鳃锯鲨	华南虎
1773	0	下列哪种动物属于鸟类？	绯胸鹦鹉	杜父鱼	鲈鳗	巴厘虎
1774	0	下列哪种动物属于鸟类？	粉红凤头鹦鹉	短鳍鳗	路氏双髻鲨	东南亚虎
1775	0	什么是世界上已知最小的鸟类？	蜂鸟	短尾线鳗	罗非鱼	印支虎
1776	0	下列哪种动物属于鸟类？	鸽子	短吻锯鲨	裸裂尻鱼	爪哇虎
1777	0	下列哪种动物属于鸟类？	公鸡	多宝鱼	麦穗鱼	苏门答腊虎
1778	0	下列哪种动物属于鸟类？	公主鹦鹉	翻车鱼	鳗鲡鱼	孟加拉虎
1779	0	下列哪种动物属于鸟类？	古巴锥尾鹦鹉	鲂鱼	猫鲨	里海虎
1780	0	鸟体为红色，翅膀和尾羽内侧为绿色；背部下方和尾巴覆羽上方为橄榄绿色的鸟叫什么？	贵妃吸蜜鹦鹉	飞鱼	梅花鲨	新疆虎
1781	0	下列哪种动物属于鸟类？	海鸥	非洲鳗	美洲鳗	黑蓝虎
1782	0	下列哪种动物属于鸟类？	褐色吸蜜鹦鹉	菲律宾鳗	蒙古红鲌	白虎
1783	0	下列哪种动物属于鸟类？	雪虎	褐头绿吸蜜鹦鹉	鲱鱼	苔原狼（欧洲）
1784	0	鸟体大多为亮丽的红色，眼睛上方和後方分布一块很宽的深蓝色羽毛，腹胁两侧有一块黑色的羽毛的鸟叫什么？	东南亚虎	黑翅吸蜜鹦鹉	风鳗	阿拉伯狼
1785	0	下列哪种动物属于鸟类？	印支虎	黑顶吸蜜鹦鹉	凤尾鱼	西伯利亚平原狼
1786	0	全身羽毛卷曲，主要呈黑灰色或黑褐色，腹部为灰白色，飞羽为白色，嘴为红色或橘红色的动物叫什么？	东北刚果狮	黑天鹅	鳡鱼	俄罗斯狼
1787	0	下列哪种动物属于鸟类？	安哥拉狮	红斑吸蜜鹦鹉	鱤	里海狼
1788	0	下列哪种动物属于鸟类？	欧洲狮	红翅鹦鹉	狗鱼	西班牙狼
1789	0	下列哪种动物属于鸟类？	刚果狮	红顶锥尾鹦鹉	鳤鱼	日本狼
1790	0	鸟体为绿色；胸部、腹部和尾巴内侧覆羽为黄绿色；前额、头顶、眼睛後方延伸的条状羽毛均为红色的动物叫什么？	德兰士瓦狮	红额鹦鹉	鲑鱼	本洲狼
1791	0	下列哪种动物属于鸟类？	巴巴里狮	红耳绿吸蜜鹦鹉	桂鱼	意大利狼
1792	0	下列哪种动物属于鸟类？	斑点狮	红耳锥尾鹦鹉	鳜鱼	中国狼
1793	0	下列哪种动物属于鸟类？	马赛狮	红腹锥尾鹦鹉	鳜鱼	埃及狼
1794	0	下列哪种动物属于鸟类？	开普狮	红喉绿吸蜜鹦鹉	海龙	普通狼
1795	0	鸟体为绿色，胸部、腹部、翅膀内侧覆羽、尾巴内侧覆羽为黄绿色的动物叫什么？	东非狮	红喉吸蜜鹦鹉	海马	奥匈狼
1796	0	下列哪种动物属于鸟类？	亚洲狮	虎皮鹦鹉	海鳗	亚洲狼
1797	0	下列哪种动物属于鸟类？	塞内加尔狮	红颏吸蜜鹦鹉	海鳝	伊比利亚狼
1798	0	下列哪种动物属于鸟类？	索马里狮	红蓝吸蜜鹦鹉	合鳃鳗	普度鹿
1799	0	鸟体为绿色，脸部、腹部和翅膀内侧覆羽为黄绿色；颈部和头部后方带有不同程度的蓝色的动物叫什么？	喀啦哈里狮	红领绿鹦鹉	河鳗	驯鹿
1800	0	下列哪种动物属于鸟类？	蒙古马	红帽鹦鹉	河魨	驼鹿
1801	0	下列哪种动物属于鸟类？	哈萨克马	红面具锥尾鹦鹉	黑龙江杜文鱼	南美泽鹿
1802	0	下列哪种动物属于鸟类？	河曲马	红色吸蜜鹦鹉	黑鳗	秘鲁马驼鹿
1803	0	鸟体为绿色，前额和头顶前端为黄绿色；鸟喙和眼睛之间、下巴、翅膀内侧覆羽、胸部两侧均为红色；耳羽蓝紫色的鸟叫什么？	西南马	红胁吸蜜鹦鹉	魟鱼	智利马驼鹿
1804	0	下列哪种动物属于鸟类？	三河马	红腰鹦鹉	胡瓜鱼	墨西哥鹿
1805	0	下列哪种动物属于鸟类？	伊犁马	虹彩吸蜜鹦鹉	胡子鲇鱼	布氏鹿
1806	0	下列哪种动物属于鸟类？	山丹马	虹膜吸蜜鹦鹉	蝴蝶鱼	矮墨西哥鹿
1807	0	头羽和背羽一般呈黄色且有黑色条纹，毛色和条纹犹如虎皮一般的鸟叫什么？	荷兰温血马	虎皮鹦鹉	虎鲨	褐墨西哥鹿
1808	0	下列哪种动物属于鸟类？	柏布马	红喉锥尾鹦鹉	花斑裸鲤	倭墨西哥鹿
1809	0	下列哪种动物属于鸟类？	汗血马	花头鹦鹉	花鳅	小墨西哥鹿
1810	0	下列哪种动物属于鸟类？	基奈山狼	华丽吸蜜鹦鹉	花鳅鱼	黑尾鹿
1811	0	俗称虎鸫、金画眉的鸟学名叫什么？	北极狼	画眉鸟	华南鲤	维基尼亚鹿
1812	0	下列哪种动物属于鸟类？	墨西哥狼	黄草玫瑰鹦鹉 	黄貂鱼	草原鹿
1813	0	下列哪种动物属于鸟类？	纽芬兰狼 	黄额鹦鹉	黄花鱼	北普度鹿
1814	0	下列哪种动物属于鸟类？	班克斯岛苔原狼	黄耳锥尾鹦鹉	黄鳗	豚鹿
1815	0	请找出哪种动物的羽毛颜色鲜黄？	不列颠哥伦比亚狼	黄鹂	黄鳝	白唇鹿
1816	0	下列哪种动物属于鸟类？	范库弗狼	黄领吸蜜鹦鹉	黄鳝鱼	阿氏鹿
1817	0	下列哪种动物属于鸟类？	小瀑布山狼	黄绿吸蜜鹦鹉	茴鱼	沼鹿
1818	0	下列哪种动物属于鸟类？	哈德逊湾狼	黄玫瑰鹦鹉	寄生鳗	马鹿
1819	0	鸟体为浅黄色；前额为橘红，脸颊两侧为深蓝色，背部和翅膀的羽毛为黑色的鸟叫什么？	马尼托巴狼	黄色玫瑰鹦鹉	鲫鱼	坡鹿
1820	0	下列哪种动物属于鸟类？	北落基山狼	黄纹绿吸蜜鹦鹉	尖尾鲨	泽鹿
1821	0	下列哪种动物属于鸟类？	拉布拉多狼	灰头锥尾鹦鹉	尖吻七鳃鲨	梅花鹿
1822	0	下列哪种动物属于鸟类？	亚历山大群岛狼	灰喜鹊	剑吻鲨	宿氏鹿
1823	0	下列哪种动物属于鸟类？	东部森林狼	火红肩锥尾鹦鹉	江鳕	鬣鹿
1824	0	鸟体为绿色，前额、头顶、颈部、头部後方、眼睛和鸟喙之间、脸颊的羽毛都带有些黄色的滚边的鸟叫什么？	密歇根苔原狼	霍夫曼氏锥尾鹦鹉	角鲨	水鹿
1825	0	下列哪种动物属于鸟类？	巴芬岛苔原狼	鸡	金枪鱼	黑鹿
1826	0	下列哪种动物属于鸟类？	蒙古狼	鸡尾鹦鹉	鲸鲨	黇鹿
1827	0	下列哪种动物属于鸟类？	德克萨斯灰狼	姬吸蜜鹦鹉	颈鳗	美索不达米亚鹿
1828	0	灰褐色，大小如鸡？与已绝灭的恐鸟有亲缘关系的鸟叫什么？	大平原狼	几维鸟	镜鲤鱼	麋鹿
1829	0	下列哪种动物属于鸟类？	布法罗狼	尖尾锥尾鹦鹉	巨齿鲨	四不像
1830	0	下列哪种动物属于鸟类？	密歇根山谷狼	尖嘴锥尾鹦鹉	巨口鲨	毛冠鹿
1831	0	下列哪种动物属于鸟类？	格陵兰狼	金刚鹦鹉	锯犁鳗	水鼷鹿
1832	0	下列哪种动物属于鸟类？	阿拉斯加内陆狼	金黄锥尾鹦鹉	锯鲨	鼷鹿
1833	0	额头、鸟喙和眼睛之间为柠檬黄色，到了脸颊上方渐渐变为黄绿和蓝绿色的鸟叫什么？	阿拉斯加苔原狼	金肩鹦鹉	锯尾鲨	大鼷鹿
1834	0	下列哪种动物属于鸟类？	南落基山狼	金帽锥尾鹦鹉	卷口鱼	长颈鹿
1835	0	下列哪种动物属于鸟类？	鮟鱇鱼	花鹿	金披风玫瑰鹦鹉 	康吉鳗
1836	0	下列哪种动物属于鸟类？	澳洲鳗	加岛花鹿	金色吸蜜鹦鹉	腊光长鳅
1837	0	名为芙蓉鸟、芙蓉、白玉、白玉鸟、玉鸟、白燕的鸟类还叫什么？	巴哈马锯鲨	巴岛花鹿	金丝雀	蓝鳍金枪鱼
1838	0	下列哪种动物属于鸟类？	巴鳅	麂	金羽锥尾鹦鹉	姥鲨
1839	0	下列哪种动物属于鸟类？	巴西达摩鲨	麝	九重鹦鹉 	鲤鱼
1840	0	下列哪种动物属于鸟类？	巴鱼	玩具贵宾犬	掘穴鹦哥	连鳃鳗
1841	0	下列哪种动物属于鸟类？	鲅鱼	美国可卡	卡卡鹦鹉	鲢鱼
1842	0	"哪种鸟类主要颜色有7种,分别为紫铜色\绿色\紫色\蓝色\黄色\红色，其它颜色纷繁复杂？"	白甲鱼	迷你腊肠犬	孔雀	裂腹鱼
1843	0	下列哪种动物属于鸟类？	白鲨	柯利牧羊犬	孔氏吸蜜鹦鹉	鲮鱼
1844	0	下列哪种动物属于鸟类？	白鳝	惠比特犬	快速鹦鹉	鲮属等
1845	0	下列哪种动物属于鸟类？	斑鲨	阿富汗猎犬	葵花凤头鹦鹉	柳叶鳗
1846	0	下列哪种动物属于鸟类？	棒花鱼	松狮犬	蓝翅鹦鹉	六鳃锯鲨
1847	0	什么动物主要栖息于岛上的山区林地，飞行的时候会伴随尖锐的叫声？	豹纹鲨	金毛寻回猎犬	蓝额吸蜜鹦鹉	鲈鳗
1848	0	下列哪种动物属于鸟类？	北极茴鱼	藏獒	蓝耳吸蜜鹦鹉	路氏双髻鲨
1849	0	下列哪种动物属于鸟类？	北鳅	西施犬	蓝盖鹦鹉	罗非鱼
1850	0	下列哪种动物属于鸟类？	比目鱼	英国可卡	蓝冠吸蜜鹦鹉	裸裂尻鱼
1851	0	下列哪种动物属于鸟类？	鳊鱼	比格猎兔犬	蓝冠吸蜜鹦鹉	麦穗鱼
1852	0	哪种动物鸟体为绿色，前额、头顶、头部後方以及颈部为暗棕色，每片羽毛均有黄棕色的滚边？	扁鲨	爱尔兰雪达	蓝喉锥尾鹦鹉	鳗鲡鱼
1853	0	下列哪种动物属于鸟类？	扁头平鳅	北京犬	蓝颊玫瑰鹦鹉	猫鲨
1854	0	下列哪种动物属于鸟类？	波鱼大海鲢	威尔士柯基	蓝绿鹦鹉	梅花鲨
1855	0	下列哪种动物属于鸟类？	玻璃鳗	喜乐帝犬	蓝纹吸蜜鹦鹉	美洲鳗
1856	0	下列哪种动物属于鸟类？	玻璃鱼	萨摩耶犬	老鹰	蒙古红鲌
1857	0	下列哪种动物属于鸟类？	草鲤	边境牧羊犬	林肯港鹦鹉	泥鳅
1858	0	哪种动物是源于澳洲，生性好玩且友善，是十分适合当宠物鸟？	草鱼	拳师犬	鳞胸吸蜜鹦鹉	拟皱唇鲨
1859	0	下列哪种动物属于鸟类？	鲳鱼	吉娃娃犬	鸬鹚	鲇鱼
1860	0	下列哪种动物属于鸟类？	长鳍金枪鱼	德国牧羊犬	绿草玫瑰鹦鹉 	鲶鱼
1861	0	下列哪种动物属于鸟类？	长鳍鳍鲇鱼	猎狐梗犬	绿翅国王鹦鹉	欧洲鳗
1862	0	下列哪种动物属于鸟类？	长尾鲨	杜宾犬	绿颊锥尾鹦鹉	爬岩鳅
1863	0	下列哪种动物属于鸟类？	长吻锯鲨	巴基度犬	绿领吸蜜鹦鹉	胖头鱼
1864	0	哪种动物前额羽毛为红色，主要以草地和灌木种子、植被、植物嫩芽、浆果、水果、花朵、昆虫以及其幼虫等为食？	赤眼鳟	大丹犬	绿色玫瑰鹦鹉	平鳍鳅
1865	0	下列哪种动物属于鸟类？	锤头双髻鲨	西高地白梗犬	绿色玫瑰鹦鹉	平鱼
1866	0	下列哪种动物属于鸟类？	刺盖鱼	伯恩山犬	绿鹦鹉	前肛鳗
1867	0	下列哪种动物属于鸟类？	达氏鳇	约克夏犬	麻雀	翘嘴红鲌
1868	0	下列哪种动物属于鸟类？	达氏蛇鱼	黑背犬	马呈氏吸蜜鹦鹉	青鳝
1869	0	哪种动物为主要进行夜间活动的攫禽？	大白鲨	狼犬	猫头鹰	青鱼
1870	0	下列哪种动物属于鸟类？	大头鳗	狼青犬	玫瑰冠锥尾鹦鹉	鲭鲨
1871	0	哪种动物主要分布于中美洲和南美洲吃植物的种子、果实、杂草，也吃昆虫、爬行动物等？	大眼长尾鲨	吉娃娃犬	美洲鸵鸟	鲭鱼
1872	0	下列哪种动物属于鸟类？	带鱼	孟加拉狐	米氏吸蜜鹦鹉	雀鳝
1873	0	下列哪种动物属于鸟类？	鲷鱼	阿富汗狐	米特雷锥尾鹦鹉	日本锯鲨
1874	0	下列哪种动物属于鸟类？	鲽鱼	南非狐	穆拉加鹦鹉	日本鳗
1875	0	哪种动物是潘塔诺区的典型代表鸟种？	东坡鲤属	沙狐	南达锥尾鹦鹉	日本须鲨
1876	0	下列哪种动物属于鸟类？	东坡鱼	藏狐	南方锥尾鹦鹉	绒毛鲨
1877	0	下列哪种动物属于鸟类？	杜父鱼	敏狐	七草玫瑰鹦鹉	如花鱼
1878	0	下列哪种动物属于鸟类？	短鳍鳗	苍狐	企鹅	三角鲂
1879	0	哪种动物鸟体为绿色，前胸和下腹部带有点黄色；有些鸟的头部会散布些零星的红色羽毛？	短尾线鳗	吕佩尔狐	青绿锥尾鹦鹉	沙丁鱼
1880	0	下列哪种动物属于鸟类？	短吻锯鲨	草原狐	情侣鹦鹉	沙拉白眼鲛
1881	0	下列哪种动物属于鸟类？	多宝鱼	赤狐	摄政王鹦鹉	沙鳅
1882	0	下列哪种动物属于鸟类？	翻车鱼	耳廓狐 	深红玫瑰鹦鹉	鲨鱼
1883	0	下列哪种动物属于鸟类？	鲂鱼	大熊猫	深红玫瑰鹦鹉	鳝鱼
1884	0	哪种动物主要栖息于雨林、次要植被区、红树林而且相当吵杂？	飞鱼	马来熊	深红吸蜜鹦鹉	蛇鳗
1885	0	下列哪种动物属于鸟类？	非洲鳗	懒熊	深蓝吸蜜鹦鹉	鯵鱼
1886	0	下列哪种动物属于鸟类？	菲律宾鳗	眼镜熊	深山鹦鹉	食人鲨
1887	0	下列哪种动物属于鸟类？	熊齿兽	鲥鱼	白尾双足蜥	圣玛尔塔锥尾鹦鹉
1888	0	下列哪种动物属于鸟类？	猫熊	鼠鲨	豹龟	圣汤马士锥尾鹦鹉
1889	0	下列哪种动物属于鸟类？	大猫熊	双髻鲨	背蜥 	施氏吸蜜鹦鹉
1890	0	哪种动物的戒心并不重，可以在有限的距离内接近，但是觅食的时候飞行的速度相当快，会伴随尖锐的鸣叫声？	棕熊	丝鳗	壁虎	施氏吸蜜鹦鹉
1891	0	下列哪种动物属于鸟类？	美洲黑熊	四须盘鱼	槽齿龙	四川鹦鹉 
1892	0	下列哪种动物属于鸟类？	北极熊	鳎鱼	草蜥	塔布吸蜜鹦鹉
1893	0	下列哪种动物属于鸟类？	亚洲黑熊	台湾鲨	侧颈龟	太阳锥尾鹦鹉
1894	0	下列哪种动物属于鸟类？	阿特拉斯棕熊	鲐鱼	长吻鳄	桃额锥尾鹦鹉
1895	0	下列哪种动物属于鸟类？	北非棕熊	唐鱼	潮龟	天鹅
1896	0	下列哪种动物属于鸟类？	懒熊	条鱼	初龙	秃鹫
1897	0	哪种动物羽色十分雅致美丽，头部和羽毛为黄色，背羽黑黄参杂？	马来熊	团头鲂鱼	岛蚺	褪草玫瑰鹦鹉 
1898	0	下列哪种动物属于鸟类？	马来貘	外口鮡	岛蜥	鸵鸟
1899	0	下列哪种动物属于鸟类？	三趾树懒	伪海鳝	地蜥	威氏吸蜜鹦鹉
1900	0	下列哪种动物属于鸟类？	二趾树懒	乌鳢鱼	动胸龟	乌鸦
1901	0	下列哪种动物属于鸟类？	猪	乌苏里白鲑	毒蜥	兀鹫
1902	0	哪种动物头部、胸部、腹部和尾羽内侧为红色；脸颊、下巴、眼睛和鸟喙之间为黄色？	马	武昌鱼	短头蚓蜥	西部玫瑰鹦鹉
1903	0	下列哪种动物属于鸟类？	牛	西里伯斯鳗	短吻鳄	西斯潘纽拉锥尾鹦鹉
1904	0	下列哪种动物属于鸟类？	羊	细鳞鱼	盾齿龙	吸蜜鹦鹉
1905	0	下列哪种动物属于鸟类？	猫	细尾长尾鲨	鳄龟	仙人掌锥尾鹦鹉
1906	0	下列哪种动物属于鸟类？	狗	线口鳗	飞蜥	仙吸蜜鹦鹉
1907	0	哪种动物鸟体为绿色；喉咙和面部为钴蓝色，喉咙和脸颊的蓝色较深；胸部鲜红色；腹部和尾巴内侧覆羽为橙黄色？	刺猬	线鳗	非洲蜥蜴	鲜红胸鹦鹉
1908	0	下列哪种动物属于鸟类？	老虎	箱鱼	辐射陆龟	鸮鹦鹉
1909	0	下列哪种动物属于鸟类？	狮子	小吻鱼	管蛇	新喀里吸蜜鹦鹉
1910	0	下列哪种动物属于鸟类？	熊	新疆重唇角鱼	滑蜥	须吸蜜鹦鹉
1911	0	下列哪种动物属于鸟类？	豹子	新西兰鳗	幻龙	玄风鸡尾鹦鹉
1912	0	下列哪种动物属于鸟类？	犀牛	须鲨	睑虎	鸭
1913	0	鸟体为绿色；喉咙和面部为钴蓝色，喉咙和脸颊的蓝色较深；胸部鲜红色；腹部和尾巴内侧覆羽为橙黄色的动物是？	蜥蜴	须鲨	巨蜥	牙买加锥尾鹦鹉
1914	0	下列哪种动物属于鸟类？	鳄鱼	鳕鱼	康定滑蜥	亚马逊鹦鹉
1915	0	下列哪种动物属于鸟类？	大象	鲟鱼	蝰蛇	烟色吸蜜鹦鹉
1916	0	下列哪种动物属于鸟类？	长颈鹿	鸭嘴鳗	棱皮龟	岩石鹦鹉
1917	0	下列哪种动物属于鸟类？	黑猩猩	胭脂鱼	两爪鳖	燕子
1918	0	哪种动物鸟体为橄榄黄色；翅膀弯曲的地方为蓝色，外侧中间覆羽为浅蓝色？	乌龟	燕鱼	鬣蜥	优美鹦鹉
1919	0	下列哪种动物属于鸟类？	海龟	傜山鱼	林蚺	鱼鹰
1920	0	下列哪种动物属于鸟类？	驴子	鳐鱼	鳞脚蜥	约瑟氏吸蜜鹦鹉
