INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	STRING
index	name	scriptid（填了脚本号后边ruler最好不要填2）	opt_type（为1的时候time_type也为1，表示每天都触发；为0的时候，time_type为2，表示限定某一天触发）	time_type	Report_start	Report_over	time_start	time_over	reserve1是否随机	reserve1	reserve2	reserve3	reserve4	reserve5	广播类型	慢报间隔	慢报内容	慢报结束时间点	快报间隔	快报内容	快报结束时间点	刚开报间隔	刚开报内容	刚开报结束时间点	进行中报间隔	进行中报内容	进行中报结束时间点	快结束报间隔	快结束报内容	快结束报结束时间点	ruler（0表示读取后边Map0——Map9列和广播的场景列表列，可多场景响应；-1表示只读取SceneId列，只一个场景响应；-2表示所有场景都响应，一般用于纯广播，和脚本无关时使用）	SceneId	Map_0	Map_1	Map_2	Map_3	Map_4	Map_5	Map_6	Map_7	Map_8	Map_9	ModuleToggle	播放类型 (0:普通场景 1：战场 2:普通场景和战场)	广播的场景列表，支持解析|，最大支持36个场景，默认为空
152	游乐场-暴龙大作战	310320	0	2	62000	62001	62000	62001	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	62001	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
153	游乐场-暴龙结束	-1	0	2	62010	62011	-1	-1	0	0	-1	-1	-1	-1	4|1	61		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
154	游乐场-暴龙开始	-1	0	2	62050	62051	-1	-1	0	0	-1	-1	-1	-1	4|1	61	#G暴龙大作战#R即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	62051	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
155	游乐场-暴龙大作战	310320	0	2	62100	62101	62100	62101	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	62101	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
156	游乐场-暴龙结束	-1	0	2	62110	62111	-1	-1	0	0	-1	-1	-1	-1	4|1	61		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
157	游乐场-暴龙开始	-1	0	2	62150	62151	-1	-1	0	0	-1	-1	-1	-1	4|1	61	#G暴龙大作战#R即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	62151	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
158	游乐场-暴龙大作战	310320	0	2	62200	62201	62200	62201	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	62201	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
159	游乐场-暴龙结束	-1	0	2	62210	62211	-1	-1	0	0	-1	-1	-1	-1	4|1	61		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
160	游乐场-疯狂的箱子	-1	0	2	61225	61226	-1	-1	0	0	-1	-1	-1	-1	4|1	61	#G疯狂的宝箱#R即将开始，各位玩家可以通过大都南的#G天上人间传送人（128，70）#R进入天上人间·麒麟，找到#G疯狂的宝箱发布人（128，118）#R参加精彩刺激的活动！	61226	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
161	游乐场-疯狂的箱子	310324	0	2	61235	61236	61235	61236	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子出现在天上人间·麒麟中的摩天轮区、旋转木马区、暴龙区和梦幻城堡区！	61236	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
162	游乐场-疯狂的箱子	310325	0	2	61250	61251	61250	61251	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子已经消失了	61251	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
163	游乐场-疯狂的箱子	-1	0	2	61325	61326	-1	-1	0	0	-1	-1	-1	-1	4|1	61	#G疯狂的宝箱#R即将开始，各位玩家可以通过大都南的#G天上人间传送人（128，70）#R进入天上人间·麒麟，找到#G疯狂的宝箱发布人（128，118）#R参加精彩刺激的活动！	61326	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
164	游乐场-疯狂的箱子	310324	0	2	61335	61336	61335	61336	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子出现在天上人间·麒麟中的摩天轮区、旋转木马区、暴龙区和梦幻城堡区！	61336	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
165	游乐场-疯狂的箱子	310325	0	2	61350	61351	61350	61351	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子已经消失了	61351	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
166	游乐场-疯狂的箱子	-1	0	2	61425	61426	-1	-1	0	0	-1	-1	-1	-1	4|1	61	#G疯狂的宝箱#R即将开始，各位玩家可以通过大都南的#G天上人间传送人（128，70）#R进入天上人间·麒麟，找到#G疯狂的宝箱发布人（128，118）#R参加精彩刺激的活动！	61426	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
167	游乐场-疯狂的箱子	310324	0	2	61435	61436	61435	61436	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子出现在天上人间·麒麟中的摩天轮区、旋转木马区、暴龙区和梦幻城堡区！	61436	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
168	游乐场-疯狂的箱子	310325	0	2	61450	61451	61450	61451	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子已经消失了	61451	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
169	游乐场-疯狂的箱子	-1	0	2	61525	61526	-1	-1	0	0	-1	-1	-1	-1	4|1	61	#G疯狂的宝箱#R即将开始，各位玩家可以通过大都南的#G天上人间传送人（128，70）#R进入天上人间·麒麟，找到#G疯狂的宝箱发布人（128，118）#R参加精彩刺激的活动！	61526	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
170	游乐场-疯狂的箱子	310324	0	2	61535	61536	61535	61536	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子出现在天上人间·麒麟中的摩天轮区、旋转木马区、暴龙区和梦幻城堡区！	61536	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
171	游乐场-疯狂的箱子	310325	0	2	61550	61551	61550	61551	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子已经消失了	61551	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
172	游乐场-疯狂的箱子	-1	0	2	61625	61626	-1	-1	0	0	-1	-1	-1	-1	4|1	61	#G疯狂的宝箱#R即将开始，各位玩家可以通过大都南的#G天上人间传送人（128，70）#R进入天上人间·麒麟，找到#G疯狂的宝箱发布人（128，118）#R参加精彩刺激的活动！	61626	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
173	游乐场-疯狂的箱子	310324	0	2	61635	61636	61635	61636	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子出现在天上人间·麒麟中的摩天轮区、旋转木马区、暴龙区和梦幻城堡区！	61636	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
174	游乐场-疯狂的箱子	310325	0	2	61650	61651	61650	61651	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子已经消失了	61651	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
175	游乐场-疯狂的箱子	-1	0	2	61725	61726	-1	-1	0	0	-1	-1	-1	-1	4|1	61	#G疯狂的宝箱#R即将开始，各位玩家可以通过大都南的#G天上人间传送人（128，70）#R进入天上人间·麒麟，找到#G疯狂的宝箱发布人（128，118）#R参加精彩刺激的活动！	61726	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
176	游乐场-疯狂的箱子	310324	0	2	61735	61736	61735	61736	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子出现在天上人间·麒麟中的摩天轮区、旋转木马区、暴龙区和梦幻城堡区！	61736	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
177	游乐场-疯狂的箱子	310325	0	2	61750	61751	61750	61751	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子已经消失了	61751	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
178	游乐场-疯狂的箱子	-1	0	2	61825	61826	-1	-1	0	0	-1	-1	-1	-1	4|1	61	#G疯狂的宝箱#R即将开始，各位玩家可以通过大都南的#G天上人间传送人（128，70）#R进入天上人间·麒麟，找到#G疯狂的宝箱发布人（128，118）#R参加精彩刺激的活动！	61826	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
179	游乐场-疯狂的箱子	310324	0	2	61835	61836	61835	61836	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子出现在天上人间·麒麟中的摩天轮区、旋转木马区、暴龙区和梦幻城堡区！	61836	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
180	游乐场-疯狂的箱子	310325	0	2	61850	61851	61850	61851	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子已经消失了	61851	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
181	游乐场-疯狂的箱子	-1	0	2	61925	61926	-1	-1	0	0	-1	-1	-1	-1	4|1	61	#G疯狂的宝箱#R即将开始，各位玩家可以通过大都南的#G天上人间传送人（128，70）#R进入天上人间·麒麟，找到#G疯狂的宝箱发布人（128，118）#R参加精彩刺激的活动！	61926	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
182	游乐场-疯狂的箱子	310324	0	2	61935	61936	61935	61936	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子出现在天上人间·麒麟中的摩天轮区、旋转木马区、暴龙区和梦幻城堡区！	61936	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
183	游乐场-疯狂的箱子	310325	0	2	61950	61951	61950	61951	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子已经消失了	61951	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
184	游乐场-疯狂的箱子	-1	0	2	62025	62026	-1	-1	0	0	-1	-1	-1	-1	4|1	61	#G疯狂的宝箱#R即将开始，各位玩家可以通过大都南的#G天上人间传送人（128，70）#R进入天上人间·麒麟，找到#G疯狂的宝箱发布人（128，118）#R参加精彩刺激的活动！	62026	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
185	游乐场-疯狂的箱子	310324	0	2	62035	62036	62035	62036	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子出现在天上人间·麒麟中的摩天轮区、旋转木马区、暴龙区和梦幻城堡区！	62036	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
186	游乐场-疯狂的箱子	310325	0	2	62050	62051	62050	62051	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子已经消失了	62051	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
187	游乐场-疯狂的箱子	-1	0	2	62125	62126	-1	-1	0	0	-1	-1	-1	-1	4|1	61	#G疯狂的宝箱#R即将开始，各位玩家可以通过大都南的#G天上人间传送人（128，70）#R进入天上人间·麒麟，找到#G疯狂的宝箱发布人（128，118）#R参加精彩刺激的活动！	62126	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
188	游乐场-疯狂的箱子	310324	0	2	62135	62136	62135	62136	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子出现在天上人间·麒麟中的摩天轮区、旋转木马区、暴龙区和梦幻城堡区！	62136	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
189	游乐场-疯狂的箱子	310325	0	2	62150	62151	62150	62151	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子已经消失了	62151	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
190	游乐场-疯狂的箱子	-1	0	2	62225	62226	-1	-1	0	0	-1	-1	-1	-1	4|1	61	#G疯狂的宝箱#R即将开始，各位玩家可以通过大都南的#G天上人间传送人（128，70）#R进入天上人间·麒麟，找到#G疯狂的宝箱发布人（128，118）#R参加精彩刺激的活动！	62226	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
191	游乐场-疯狂的箱子	310324	0	2	62235	62236	62235	62236	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子出现在天上人间·麒麟中的摩天轮区、旋转木马区、暴龙区和梦幻城堡区！	62236	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
192	游乐场-疯狂的箱子	310325	0	2	62250	62251	62250	62251	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子已经消失了	62251	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
193	游乐场-彩票	310338	0	2	52359	60000	52359	60000	0	0	-1	-1	-1	-1	4|1	-1	-1	-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
194	游乐场-彩票	310338	0	2	61030	61031	61030	61031	0	1	-1	-1	-1	-1	4|1	-1	-1	-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
195	游乐场-彩票	310338	0	2	61230	61231	61230	61231	0	2	-1	-1	-1	-1	4|1	-1	-1	-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
196	游乐场-彩票	310338	0	2	61430	61431	61430	61431	0	3	-1	-1	-1	-1	4|1	-1	-1	-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
197	游乐场-彩票	310338	0	2	61630	61631	61630	61631	0	4	-1	-1	-1	-1	4|1	-1	-1	-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
198	游乐场-彩票	310338	0	2	61830	61831	61830	61831	0	5	-1	-1	-1	-1	4|1	-1	-1	-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
199	游乐场-彩票	310338	0	2	62030	62031	62030	62031	0	6	-1	-1	-1	-1	4|1	-1	-1	-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
200	游乐场-彩票	310338	0	2	62230	62231	62230	62231	0	7	-1	-1	-1	-1	4|1	-1	-1	-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
201	游乐场关闭	310342	0	2	62250	62251	62300	62301	0	0	-1	-1	-1	-1	4|1	61	天上人间·麒麟即将关闭，欢迎您下次再来。	62251	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
202	游乐场全民狂欢	310341	0	2	60900	60901	60900	60901	0	0	-1	-1	-1	-1	4|1	61	魔女艾丽西丝的水晶球又丢失了，请各位游客帮忙找寻回来。	60901	-1		-1	-1		-1	-1		-1	-1		-1	0	99	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
203	游乐场全民狂欢	310341	0	2	62250	62251	62250	62251	0	1	-1	-1	-1	-1	4|1	61	魔女艾丽西丝的水晶球都被找回了，谢谢大家的努力。	62251	-1		-1	-1		-1	-1		-1	-1		-1	0	99	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
204	游乐场-暴龙开始	-1	0	2	1150	1151	-1	-1	0	0	-1	-1	-1	-1	4|1	61	暴龙大作战即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	1151	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
205	游乐场-暴龙大作战	310320	0	2	1200	1201	1200	1201	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	1201	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
206	游乐场-暴龙结束	-1	0	2	1210	1211	-1	-1	0	0	-1	-1	-1	-1	4|1	61	此轮暴龙大作战已经结束！	1211	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
207	游乐场-暴龙开始	-1	0	2	1250	1251	-1	-1	0	0	-1	-1	-1	-1	4|1	61	暴龙大作战即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	1251	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
208	游乐场-暴龙大作战	310320	0	2	1300	1301	1300	1301	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	1301	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
209	游乐场-暴龙结束	-1	0	2	1310	1311	-1	-1	0	0	-1	-1	-1	-1	4|1	61	此轮暴龙大作战已经结束！	1311	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
210	游乐场-暴龙开始	-1	0	2	1350	1351	-1	-1	0	0	-1	-1	-1	-1	4|1	61	暴龙大作战即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	1351	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
211	游乐场-暴龙大作战	310320	0	2	1400	1401	1400	1401	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	1401	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
212	游乐场-暴龙结束	-1	0	2	1410	1411	-1	-1	0	0	-1	-1	-1	-1	4|1	61	此轮暴龙大作战已经结束！	1411	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
213	游乐场-暴龙开始	-1	0	2	1450	1451	-1	-1	0	0	-1	-1	-1	-1	4|1	61	暴龙大作战即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	1451	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
214	游乐场-暴龙大作战	310320	0	2	1500	1501	1500	1501	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	1501	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
215	游乐场-暴龙结束	-1	0	2	1510	1511	-1	-1	0	0	-1	-1	-1	-1	4|1	61	此轮暴龙大作战已经结束！	1511	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
216	游乐场-暴龙开始	-1	0	2	1550	1551	-1	-1	0	0	-1	-1	-1	-1	4|1	61	暴龙大作战即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	1551	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
217	游乐场-暴龙大作战	310320	0	2	1600	1601	1600	1601	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	1601	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
218	游乐场-暴龙结束	-1	0	2	1610	1611	-1	-1	0	0	-1	-1	-1	-1	4|1	61	此轮暴龙大作战已经结束！	1611	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
219	游乐场-暴龙开始	-1	0	2	1650	1651	-1	-1	0	0	-1	-1	-1	-1	4|1	61	暴龙大作战即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	1651	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
220	游乐场-暴龙大作战	310320	0	2	1700	1701	1700	1701	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	1701	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
221	游乐场-暴龙结束	-1	0	2	1710	1711	-1	-1	0	0	-1	-1	-1	-1	4|1	61	此轮暴龙大作战已经结束！	1711	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
222	游乐场-暴龙开始	-1	0	2	1750	1751	-1	-1	0	0	-1	-1	-1	-1	4|1	61	暴龙大作战即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	1751	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
223	游乐场-暴龙大作战	310320	0	2	1800	1801	1800	1801	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	1801	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
