INT	STRING	STRING	STRING	STRING	STRING	INT
446	请耐心思考再作答：\n\t#G中药药材旋复花的功效是	清热凉血	清热解毒，利湿	消痰行水	化痰止咳	3
447	请耐心思考再作答：\n\t#G中药药材贝母的功效是	清热凉血	清热解毒，利湿	消痰行水	化痰止咳	4
448	请耐心思考再作答：\n\t#G中药药材杏仁的功效是	止咳平喘	化湿止呕解暑	行气健脾	攻积到滞	1
449	请耐心思考再作答：\n\t#G中药药材霍香的功效是	止咳平喘	化湿止呕解暑	行气健脾	攻积到滞	2
450	请耐心思考再作答：\n\t#G中药药材橘皮的功效是	止咳平喘	化湿止呕解暑	行气健脾	攻积到滞	3
451	请耐心思考再作答：\n\t#G中药药材大黄的功效是	止咳平喘	化湿止呕解暑	行气健脾	攻积到滞	4
452	请耐心思考再作答：\n\t#G中药药材甘遂的功效是	泄水逐饮	利水渗湿	去风湿，补腰肾	散瘀止血	1
453	请耐心思考再作答：\n\t#G中药药材茯苓的功效是	泄水逐饮	利水渗湿	去风湿，补腰肾	散瘀止血	2
454	请耐心思考再作答：\n\t#G中药药材狗脊的功效是	泄水逐饮	利水渗湿	去风湿，补腰肾	散瘀止血	3
455	请耐心思考再作答：\n\t#G中药药材三七的功效是	泄水逐饮	利水渗湿	去风湿，补腰肾	散瘀止血	4
456	请耐心思考再作答：\n\t#G素有“瓷都”之称的景德镇位于哪个省份？	河南	河北	广东	江西	4
457	请耐心思考再作答：\n\t#G我国古代“十恶不赦”中的首恶是：	谋反	不义	不道	不孝	1
458	请耐心思考再作答：\n\t#G我国古代哪个朝代的“状元”最多：	唐朝	宋朝	明朝	清朝	1
459	请耐心思考再作答：\n\t#G甲骨文是属于哪一类文字?	表意文字	表音文字	象形文字	音位文字	3
460	请耐心思考再作答：\n\t#G唐朝的上一个王朝是	隋朝	明朝	清朝	元朝	1
461	请耐心思考再作答：\n\t#G南北朝时期的南朝不包括	宋	齐	梁	楚	4
462	请耐心思考再作答：\n\t#G唐朝中央实行三省六部制，下面哪个省不在三省之列	尚书省	门下省	中书省	下书省	4
463	请耐心思考再作答：\n\t#G墨子属于 	墨家	道家	儒家	法家	1
464	请耐心思考再作答：\n\t#G著名的《女史箴图 》是哪位画家的作品	顾恺之	顾炎武	王羲之	吴道子	1
465	请耐心思考再作答：\n\t#G古代所称的而立之年指的是	三十岁	四十岁	五十岁	六十岁	1
466	请耐心思考再作答：\n\t#G古代所称“不惑之年”是指	三十岁	四十岁	五十岁	六十岁	2
467	请耐心思考再作答：\n\t#G古代所称的知天命之年是指	三十岁	四十岁	五十岁	六十岁	3
468	请耐心思考再作答：\n\t#G古代所称的耳顺之年是指	三十岁	四十岁	五十岁	六十岁	4
469	请耐心思考再作答：\n\t#G古代地理所称“阳”指的是	山南	山北	山东	山西	1
470	请耐心思考再作答：\n\t#G古代地理所称“阳”指的是	水南	水北	水东	水西	2
471	请耐心思考再作答：\n\t#G人们所称的“三伏”出现在农历的 	六月	七月	八月	九月	1
472	请耐心思考再作答：\n\t#G古人用“六畜兴旺”形容家境繁荣，其中六畜不包括	猪	马	牛	驴	4
473	请耐心思考再作答：\n\t#G“四书五经”中的四书是不包括 	《论语》	《孟子》	《春秋》	《中庸》	3
474	请耐心思考再作答：\n\t#G长城修建后关内关 外的说法中“关”指的 是	山海关	嘉峪关	紫荆关	韶关	1
475	请耐心思考再作答：\n\t#G“重阳节”是指	农历九月初七	农历九月初八	农历九月初九	农历九月初十	3
476	请耐心思考再作答：\n\t#G古语所称“细软” 是指	钱财	干粮	美酒	美女	1
477	请耐心思考再作答：\n\t#G以下哪个是古代著 名“唐三彩”工艺中的 基本色彩之一	白色	黑色	青色	褐色	1
478	请耐心思考再作答：\n\t#G我国古代称为“吉金”的是	青铜	红铜	乌铜	黄铜	1
479	请耐心思考再作答：\n\t#G唐朝著名医生孙思邈曾为四大发明中的哪一种作出过贡献	火药	指南针	造纸术	印刷术	1
480	请耐心思考再作答：\n\t#G东汉时期发明的“ 水排”作用在于	冶铁	灌溉	防洪	淘金	1
481	请耐心思考再作答：\n\t#G著名的“赵州桥” 位于	保定	石家庄	邢台	邯郸	2
482	请耐心思考再作答：\n\t#G刘备，字	玄德	翼德	云长	孟德	1
483	请耐心思考再作答：\n\t#G张飞，字	玄德	翼德	云长	孟德	2
484	请耐心思考再作答：\n\t#G关羽，字	玄德	翼德	云长	孟德	3
485	请耐心思考再作答：\n\t#G曹操，字	玄德	翼德	云长	孟德	4
486	请耐心思考再作答：\n\t#G翡翠属于	动物	植物	矿物	化合物	3
487	请耐心思考再作答：\n\t#G玳瑁属于	动物	植物	矿物	化合物	1
488	请耐心思考再作答：\n\t#G古代的“鼎”最初是一种	炊具	武器	盔甲	卧具	1
489	请耐心思考再作答：\n\t#G古人的“谥号”指的是	帝王所专用的称号	文臣所专用的称号	武将所专用的称号	百姓所专用的称号	1
490	请耐心思考再作答：\n\t#G我国第一部详细记述茶艺的著作是	《茶经》	《茶典》	《茶策》	《茶书》	1
491	请耐心思考再作答：\n\t#G北京奥运会火炬传递受什么启发	丝绸之路	红军长征	玄奘西游	鉴真东渡	1
492	请耐心思考再作答：\n\t#G清代文官官服上绣有方形图案，称为“补子”，其中一品官的图案是	仙鹤	孔雀	凤凰	鹌鹑	1
493	请耐心思考再作答：\n\t#G清代武官官服上绣有方形图案，称为“补子”，其中一品官的图案是	麒麟	飞龙	猛虎	犀牛	1
494	请耐心思考再作答：\n\t#G“床前明月光”的“床”是什么意思？	床铺	板凳	椅子	井栏	4
495	请耐心思考再作答：\n\t#G古代成语中“不分皂白”中的皂什么颜色？	黑色	红色	黄色	绿色	1
496	请耐心思考再作答：\n\t#G古代人参有多种雅称，以下不属于人参雅称的是：	赤箭	神草	黄精	地精	1
497	请耐心思考再作答：\n\t#G古代军队调兵遣将的信物是？	虎符	龙符	玉玺	令牌	1
